
Date[2015-10-05 11:24:05,452] ThreadID[14] Level[INFO ] Logger[AngularDemo.Shared.Logging]] - Getsync Executed in 1285 milli seconds

Date[2015-10-05 11:24:57,008] ThreadID[12] Level[INFO ] Logger[AngularDemo.Shared.Logging]] - Called Entry GetPersons

Date[2015-10-05 11:24:59,052] ThreadID[12] Level[INFO ] Logger[AngularDemo.Shared.Logging]] - Called sucess GetPersons

Date[2015-10-05 11:24:59,052] ThreadID[12] Level[INFO ] Logger[AngularDemo.Shared.Logging]] - GetPersons Executed in 2048 milli seconds

Date[2015-10-05 11:25:27,087] ThreadID[14] Level[INFO ] Logger[AngularDemo.Shared.Logging]] - Called Entry Getsync

Date[2015-10-05 11:25:27,109] ThreadID[14] Level[INFO ] Logger[AngularDemo.Shared.Logging]] - Called sucess Getsync

Date[2015-10-05 11:25:27,109] ThreadID[14] Level[INFO ] Logger[AngularDemo.Shared.Logging]] - Getsync Executed in 40 milli seconds

Date[2015-10-05 11:25:48,432] ThreadID[16] Level[INFO ] Logger[AngularDemo.Shared.Logging]] - Called Entry GetPersons

Date[2015-10-05 11:25:48,870] ThreadID[16] Level[INFO ] Logger[AngularDemo.Shared.Logging]] - Called sucess GetPersons

Date[2015-10-05 11:25:48,870] ThreadID[16] Level[INFO ] Logger[AngularDemo.Shared.Logging]] - GetPersons Executed in 459 milli seconds

Date[2015-10-05 11:26:22,056] ThreadID[9] Level[INFO ] Logger[AngularDemo.Shared.Logging]] - Called Entry Getsync

Date[2015-10-05 11:26:22,056] ThreadID[9] Level[INFO ] Logger[AngularDemo.Shared.Logging]] - Called sucess Getsync

Date[2015-10-05 11:26:22,056] ThreadID[9] Level[INFO ] Logger[AngularDemo.Shared.Logging]] - Getsync Executed in 1 milli seconds

Date[2015-10-05 11:26:26,832] ThreadID[9] Level[INFO ] Logger[AngularDemo.Shared.Logging]] - Called Entry GetPersons

Date[2015-10-05 11:26:27,142] ThreadID[9] Level[INFO ] Logger[AngularDemo.Shared.Logging]] - Called sucess GetPersons

Date[2015-10-05 11:26:27,143] ThreadID[9] Level[INFO ] Logger[AngularDemo.Shared.Logging]] - GetPersons Executed in 325 milli seconds
